"Tool","Class","Registered","Header","Source","DeclMutates","DeclDryRun","DeclSave","DeclBatch","HasDryRunImpl","HasSaveImpl","HasOldResult","HasLoadObject","HasMutationTokens","HasAliases","Aliases"
"edit-common-ui","UEditCommonUITool","True","Source\UEBridgeMCPEditor\Public\Tools\Widget\CommonUITools.h","Source\UEBridgeMCPEditor\Private\Tools\Widget\CommonUITools.cpp","True","True","True","True","True","True","False","False","True","True","configure_common_button, set_common_ui_input_mode"
"edit-control-rig-graph","UEditControlRigGraphTool","True","Source\UEBridgeMCPControlRig\Public\Tools\ControlRig\EditControlRigGraphTool.h","Source\UEBridgeMCPControlRig\Private\Tools\ControlRig\EditControlRigGraphTool.cpp","True","True","True","True","True","True","False","False","True","False",""
"edit-datatable-batch","UEditDataTableBatchTool","True","Source\UEBridgeMCPEditor\Public\Tools\Asset\EditDataTableBatchTool.h","Source\UEBridgeMCPEditor\Private\Tools\Asset\EditDataTableBatchTool.cpp","True","True","True","True","True","True","False","False","True","False",""
"edit-editor-selection","UEditEditorSelectionTool","True","Source\UEBridgeMCPEditor\Public\Tools\Editor\EditorInteractionTools.h","Source\UEBridgeMCPEditor\Private\Tools\Editor\EditorInteractionTools.cpp","True","True","False","False","True","False","False","False","False","True","select_actors"
"edit-environment-lighting","UEditEnvironmentLightingTool","True","Source\UEBridgeMCPEditor\Public\Tools\Environment\EditEnvironmentLightingTool.h","Source\UEBridgeMCPEditor\Private\Tools\Environment\EditEnvironmentLightingTool.cpp","True","True","True","True","True","True","False","False","True","True","set_post_process_settings, set_fog_settings, set_sky_atmosphere, set_light_properties"
"edit-foliage-batch","UEditFoliageBatchTool","True","Source\UEBridgeMCPEditor\Public\Tools\Foliage\EditFoliageBatchTool.h","Source\UEBridgeMCPEditor\Private\Tools\Foliage\EditFoliageBatchTool.cpp","True","True","True","True","True","True","False","False","True","True","paint_foliage, erase_foliage, add_foliage_type"
"edit-gameplay-effect-modifiers","UEditGameplayEffectModifiersTool","True","Source\UEBridgeMCPEditor\Public\Tools\Gameplay\EditGameplayEffectModifiersTool.h","Source\UEBridgeMCPEditor\Private\Tools\Gameplay\EditGameplayEffectModifiersTool.cpp","True","True","True","False","True","True","False","False","True","False",""
"edit-input-mapping-context","UEditInputMappingContextTool","True","Source\UEBridgeMCPEditor\Public\Tools\Gameplay\EditInputMappingContextTool.h","Source\UEBridgeMCPEditor\Private\Tools\Gameplay\EditInputMappingContextTool.cpp","True","True","True","True","True","True","False","False","True","True","add_action_mapping"
"edit-landscape-region","UEditLandscapeRegionTool","True","Source\UEBridgeMCPEditor\Public\Tools\Landscape\EditLandscapeRegionTool.h","Source\UEBridgeMCPEditor\Private\Tools\Landscape\EditLandscapeRegionTool.cpp","True","True","True","True","True","True","False","False","True","True","set_landscape_material"
"edit-level-actor","UEditLevelActorTool","True","Source\UEBridgeMCPEditor\Public\Tools\Level\EditLevelActorTool.h","Source\UEBridgeMCPEditor\Private\Tools\Level\EditLevelActorTool.cpp","False","False","False","False","True","True","False","True","True","True","set_actor_property, set_actor_transform, set_actor_hidden, set_actor_mobility, set_actor_tags"
"edit-level-batch","UEditLevelBatchTool","True","Source\UEBridgeMCPEditor\Public\Tools\Level\EditLevelBatchTool.h","Source\UEBridgeMCPEditor\Private\Tools\Level\EditLevelBatchTool.cpp","True","True","True","True","True","True","False","False","True","False",""
"edit-material-graph","UEditMaterialGraphTool","True","Source\UEBridgeMCPEditor\Public\Tools\Material\EditMaterialGraphTool.h","Source\UEBridgeMCPEditor\Private\Tools\Material\EditMaterialGraphTool.cpp","True","True","True","True","True","True","False","False","True","True","add_material_expression, add_texture_sample_expression, add_material_parameter_expression, connect_material_expression, remove_material_expression, set_material_expression_value"
"edit-material-instance","UEditMaterialInstanceTool","True","Source\UEBridgeMCPEditor\Public\Tools\Material\EditMaterialInstanceTool.h","Source\UEBridgeMCPEditor\Private\Tools\Material\EditMaterialInstanceTool.cpp","True","True","True","True","True","True","False","False","True","False",""
"edit-material-instance-batch","UEditMaterialInstanceBatchTool","True","Source\UEBridgeMCPEditor\Public\Tools\Material\EditMaterialInstanceBatchTool.h","Source\UEBridgeMCPEditor\Private\Tools\Material\EditMaterialInstanceBatchTool.cpp","True","True","True","True","False","True","False","False","False","True","set_material_scalar, set_material_vector"
"edit-metasound-graph","UEditMetaSoundGraphTool","True","Source\UEBridgeMCPEditor\Public\Tools\MetaSound\EditMetaSoundGraphTool.h","Source\UEBridgeMCPEditor\Private\Tools\MetaSound\EditMetaSoundGraphTool.cpp","True","True","True","True","True","True","False","False","True","False",""
"edit-navigation-build","UEditNavigationBuildTool","True","Source\UEBridgeMCPEditor\Public\Tools\Gameplay\GameplayAdvancedTools.h","Source\UEBridgeMCPEditor\Private\Tools\Gameplay\GameplayAdvancedTools.cpp","True","True","False","False","True","False","False","False","False","True","build_navigation"
"edit-network-component-settings","UEditNetworkComponentSettingsTool","True","Source\UEBridgeMCPEditor\Public\Tools\Gameplay\GameplayAdvancedTools.h","Source\UEBridgeMCPEditor\Private\Tools\Gameplay\GameplayAdvancedTools.cpp","True","True","True","False","True","True","False","False","True","True","set_component_replication, set_net_dormancy"
"edit-niagara-user-parameters","UEditNiagaraUserParametersTool","True","Source\UEBridgeMCPEditor\Public\Tools\Niagara\EditNiagaraUserParametersTool.h","Source\UEBridgeMCPEditor\Private\Tools\Niagara\EditNiagaraUserParametersTool.cpp","True","True","True","True","True","True","False","False","True","True","set_niagara_parameter"
"edit-pcg-graph","UEditPCGGraphTool","True","Source\UEBridgeMCPPCG\Public\Tools\PCG\PCGGraphTools.h","Source\UEBridgeMCPPCG\Private\Tools\PCG\PCGGraphTools.cpp","True","True","True","True","True","True","False","False","True","True","create_pcg_graph, add_pcg_node, connect_pcg_nodes, set_pcg_static_mesh_spawner_meshes"
